scaffold,start,end,mid,sites,pi_Hls1,pi_Hls2,dxy_Hls1_Hls2,Fst_Hls1_Hls2
scaffold_1,5454338,5481752,5468172,25000,0.000641,0.000678,0.003112,0.6619
scaffold_1,5481753,5508602,5495009,25000,0.001299,0.001306,0.012038,0.812684
scaffold_1,5508603,5539486,5523801,25000,0.000846,0.001219,0.009435,0.807729
scaffold_1,5539487,5565865,5552808,25000,0.001105,0.001083,0.018607,0.893928
scaffold_1,5565866,5591835,5578960,25000,0.00154,0.001454,0.017399,0.848282
scaffold_1,5591836,5619502,5606100,25000,0.001111,0.001094,0.013509,0.855518
scaffold_1,5619503,5645336,5632396,25000,0.001233,0.001225,0.015093,0.855881
scaffold_1,5645337,5675340,5659893,25000,0.000664,0.000676,0.0083,0.85867
scaffold_1,5675341,5708534,5692404,25000,0.000599,0.000713,0.008477,0.861967
scaffold_1,5708535,5738000,5724895,25000,0.000951,0.001007,0.011488,0.849594
scaffold_1,5738001,5769114,5753578,25000,0.001052,0.000996,0.016268,0.88682
scaffold_1,5769115,5800314,5781888,25000,0.001022,0.000964,0.012049,0.85423
scaffold_1,5800315,5830348,5814461,25000,0.00134,0.001443,0.014871,0.835228
scaffold_1,5830349,5855630,5842968,25000,0.00109,0.000941,0.008626,0.794591
scaffold_1,5855631,5881066,5868318,25000,0.001027,0.000998,0.007318,0.766235
scaffold_1,5881067,5911455,5895493,25000,0.000993,0.00102,0.01731,0.894986
scaffold_1,5911456,5941757,5925743,25000,0.0012,0.001452,0.006585,0.671718
scaffold_1,5941758,5967274,5954478,25000,0.000941,0.000939,0.006452,0.755321
scaffold_1,5967275,5992601,5979961,25000,0.000839,0.000872,0.007594,0.80569
scaffold_1,5992602,6018014,6005258,25000,0.001263,0.00117,0.004761,0.605218
scaffold_1,6018015,6043905,6031007,25000,0.000566,0.000654,0.015357,0.925813
scaffold_1,6043906,6070074,6056930,25000,0.001045,0.00103,0.008735,0.794964
scaffold_1,6070075,6102254,6087990,25000,0.001071,0.001022,0.003869,0.586686
scaffold_1,6102255,6128980,6115544,25000,0.001068,0.001089,0.01573,0.877297
scaffold_1,6128981,6155010,6142020,25000,0.000849,0.000846,0.020976,0.925931
scaffold_1,6155011,6201831,6188441,25000,0.000904,0.001053,0.01575,0.887456
scaffold_1,6201832,6237602,6223272,25000,0.002072,0.002001,0.006975,0.560678
scaffold_1,6237603,6263173,6250472,25000,0.00155,0.001618,0.011724,0.771095
