#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
Hrs.ref_sa	scaffold_30	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	28380	6800	78	0	23	115	295.6521739130435	3	1091	6800	42894	63729.30434782609	2167	205642	1465774	6878	6878	6800	0.9886594940389648	0.9886594940389648	42894
Hrs.ref_sa	scaffold_31	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	19854	7367	33	0	18	148.5	409.27777777777777	2	2284	7367	94744.0	120385.61111111111	787	469270	2166941	7400	7400	7367	0.9955405405405405	0.9955405405405405	151126
Hrs.ref_sa	scaffold_32	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	23284	8591	148	0	13	191	660.8461538461538	4	4880	8591	18750	98280.61538461539	631	471128	1277648	8739	8739	8591	0.9830644238471221	0.9830644238471221	18750
Hrs.ref_sa	scaffold_33	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	36127	10286	164	0	23	394	447.2173913043478	10	1547	10286	45093	65780.78260869565	995	214720	1512958	10450	10450	10286	0.9843062200956938	0.9843062200956938	56525
Hrs.ref_sa	scaffold_34	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	39808	13901	401	0	21	310	661.952380952381	28	3033	13901	54120	80417.61904761905	2324	328613	1688770	14302	14302	13901	0.9719619633617675	0.9719619633617675	89891
Hrs.ref_sa	scaffold_35	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	34140	7153	192	0	21	95	340.6190476190476	2	2738	7153	26371	57309.857142857145	899	302811	1203507	7345	7345	7153	0.9738597685500341	0.9738597685500341	43094
Hrs.ref_sa	scaffold_36	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	39632	17771	351	0	15	827	1184.7333333333333	109	4660	17771	70259	113225.13333333333	3681	406299	1698377	18122	18122	17771	0.9806312769010043	0.9806312769010043	119391
Hrs.ref_sa	scaffold_37	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	24045	7611	165	0	25	16	304.44	2	2950	7611	15157	46755.04	517	242529	1168876	7776	7776	7611	0.9787808641975309	0.9787808641975309	18724
Hrs.ref_sa	scaffold_38	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	31226	4481	52	0	21	12	213.38095238095238	2	1411	4481	28471	43716.380952380954	443	141315	918044	4533	4533	4481	0.9885285682770792	0.9885285682770792	0
Hrs.ref_sa	scaffold_39	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	12534	4578	24	0	16	175.5	286.125	9	890	4578	80308.0	91131.8125	1873	290115	1458109	4602	4602	4578	0.9947848761408083	0.9947848761408083	145875
Hrs.ref_sa	scaffold_40	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	22791	7285	94	0	18	152.5	404.72222222222223	2	2183	7285	34567.5	71235.22222222222	2337	351382	1282234	7379	7379	7285	0.9872611464968153	0.9872611464968153	67371
Hrs.ref_sa	scaffold_41	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	28455	12911	147	0	14	583.5	922.2142857142857	43	3906	12911	50976.0	93303.14285714286	1372	442994	1306244	13058	13058	12911	0.9887425333129116	0.9887425333129116	105000
Hrs.ref_sa	scaffold_42	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	15658	1978	32	0	17	42	116.3529411764706	2	594	1978	19114	49040.82352941176	1	194768	833694	2010	2010	1978	0.9840796019900497	0.9840796019900497	12259
Hrs.ref_sa	scaffold_43	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	20039	5615	87	0	14	198.0	401.07142857142856	2	1373	5615	67413.0	80763.0	1104	210890	1130682	5702	5702	5615	0.9847421957207997	0.9847421957207997	88193
Hrs.ref_sa	scaffold_44	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	19961	1685	33	0	15	60	112.33333333333333	2	497	1685	31352	34101.2	1491	96686	511518	1718	1718	1685	0.980791618160652	0.980791618160652	0
Hrs.ref_sa	scaffold_45	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	15249	4503	44	0	9	172	500.3333333333333	27	2810	4503	33118	83943.77777777778	393	254518	755494	4547	4547	4503	0.9903232900813723	0.9903232900813723	108388
Hrs.ref_sa	scaffold_46	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	17895	2585	63	0	13	136	198.84615384615384	2	503	2585	48784	42934.769230769234	136	72424	558152	2648	2648	2585	0.9762084592145015	0.9762084592145015	0
