scaffold,start,end,mid,sites,pi1,pi2,dxy,fst,window_size,window_name
scaffold_37,1344863,1389240,1370801,25000,0.001926,0.002327,0.002148,-0.008242,204247,scaffold_37_5
scaffold_37,1389241,1478467,1409512,25000,0.002291,0.003034,0.00309,0.078856,204247,scaffold_37_5
scaffold_37,1478468,1523077,1504786,25000,0.003327,0.002268,0.002619,-0.035288,113991,scaffold_37_6
scaffold_37,1523078,1591818,1549780,25000,0.003178,0.001931,0.005756,0.39332,113991,scaffold_37_6
scaffold_37,1591819,1694275,1622623,25000,0.003281,0.003262,0.003268,-0.000634,291157,scaffold_37_7
scaffold_37,1694278,1826356,1749124,25000,0.003716,0.006492,0.005548,0.044339,291157,scaffold_37_7
scaffold_37,1826357,1869818,1850052,25000,0.002613,0.003769,0.00342,0.036902,291157,scaffold_37_7
scaffold_38,26395,196488,90371,25000,0.001698,0.003061,0.00244,0.013428,123105,scaffold_38_1
scaffold_38,196489,252369,226973,25000,0.00301,0.00411,0.005821,0.252961,132652,scaffold_38_2
scaffold_38,344428,423962,387373,25000,0.002027,0.002586,0.002316,0.002241,250136,scaffold_38_3
scaffold_38,423963,488089,452543,25000,0.00128,0.002442,0.001627,-0.07182,250136,scaffold_38_3
scaffold_38,488090,531557,512514,25000,0.002223,0.002672,0.002906,0.09085,250136,scaffold_38_3
scaffold_38,531558,571893,552338,25000,0.001288,0.001417,0.001219,-0.055526,250136,scaffold_38_3
scaffold_38,781425,819640,799791,25000,0.001555,0.000734,0.001809,0.236375,213335,scaffold_38_4
scaffold_38,819641,857329,837867,25000,0.001284,0.000852,0.001816,0.272138,213335,scaffold_38_4
scaffold_38,857330,884205,870788,25000,0.002389,0.000954,0.002155,0.133673,213335,scaffold_38_4
scaffold_38,884206,912809,898106,25000,0.001153,0.00113,0.001034,-0.053012,213335,scaffold_38_4
scaffold_38,912810,939840,926649,25000,0.001071,0.002038,0.002361,0.216691,213335,scaffold_38_4
scaffold_38,1113292,1157985,1134031,25000,0.004052,0.001081,0.003617,0.179194,160017,scaffold_38_5
scaffold_38,1157986,1207757,1179448,25000,0.00155,0.001681,0.001492,-0.042478,160017,scaffold_38_5
scaffold_38,1207758,1246634,1231749,25000,0.007607,0.004489,0.008852,0.198252,160017,scaffold_38_5
scaffold_38,1246635,1322472,1300077,25000,0.000956,0.001204,0.001002,-0.040124,179146,scaffold_38_6
scaffold_38,1322473,1391336,1348157,25000,0.001388,0.001506,0.001342,-0.040154,179146,scaffold_38_6
scaffold_38,1475092,1562009,1506370,25000,0.000858,0.000848,0.000746,-0.07435,142277,scaffold_38_7
scaffold_39,763142,818554,794766,25000,0.001276,0.001682,0.001332,-0.055979,114539,scaffold_39_1
scaffold_39,818555,928030,857065,25000,0.002855,0.002367,0.002524,-0.018156,114539,scaffold_39_1
scaffold_39,928031,972349,957425,25000,0.002643,0.001949,0.002349,0.012242,224154,scaffold_39_2
scaffold_39,972350,1020837,994108,25000,0.003416,0.002498,0.002935,-0.003884,224154,scaffold_39_2
scaffold_39,1020838,1059839,1042293,25000,0.002229,0.001596,0.002393,0.117306,224154,scaffold_39_2
scaffold_39,1059840,1113484,1084866,25000,0.002597,0.001708,0.003091,0.183899,224154,scaffold_39_2
scaffold_4,32109,147830,101094,25000,0.005651,0.005747,0.005279,-0.04095,140903,scaffold_4_1
scaffold_4,2068292,2225555,2161935,25000,0.004595,0.00546,0.007245,0.190436,197306,scaffold_4_3
scaffold_4,2320854,2390303,2354521,25000,0.002963,0.003401,0.002899,-0.049788,180051,scaffold_4_4
scaffold_4,2390304,2465759,2408941,25000,0.001651,0.001602,0.001417,-0.073894,180051,scaffold_4_4
scaffold_4,2539487,2625896,2576784,25000,0.002296,0.002652,0.002225,-0.056657,123720,scaffold_4_5
scaffold_4,2821921,2868725,2843666,25000,0.001139,0.001186,0.001032,-0.064988,142158,scaffold_4_6
scaffold_4,2868726,2944191,2911255,25000,0.002093,0.002165,0.001925,-0.055243,142158,scaffold_4_6
scaffold_4,2944192,3019517,2978439,25000,0.007136,0.00539,0.00578,-0.042881,153182,scaffold_4_7
scaffold_4,3019518,3051376,3036179,25000,0.002122,0.002705,0.002214,-0.046208,153182,scaffold_4_7
scaffold_4,3152228,3298467,3244309,25000,0.001469,0.001842,0.001564,-0.030293,355056,scaffold_4_8
scaffold_4,3298468,3333867,3318041,25000,0.004726,0.002198,0.003734,0.040257,355056,scaffold_4_8
scaffold_4,3333868,3412224,3377362,25000,0.003602,0.001955,0.003431,0.111235,355056,scaffold_4_8
scaffold_4,3412225,3452323,3429846,25000,0.001445,0.001387,0.001541,0.043805,355056,scaffold_4_8
scaffold_4,3452324,3537148,3482678,25000,0.00184,0.001674,0.001549,-0.067384,355056,scaffold_4_8
scaffold_4,3580550,3716721,3656167,25000,0.001536,0.003061,0.003078,0.145026,248070,scaffold_4_9
scaffold_4,3716722,3888327,3778498,25000,0.001814,0.001781,0.001805,0.001943,248070,scaffold_4_9
scaffold_4,3955938,4060645,4005376,25000,0.001734,0.001893,0.00187,0.016307,120841,scaffold_4_10
scaffold_4,4060646,4150902,4110215,25000,0.001254,0.001319,0.001482,0.075118,112405,scaffold_4_11
scaffold_4,4150903,4187601,4166110,23551,0.001477,0.00153,0.001383,-0.044662,112405,scaffold_4_11
scaffold_41,599613,665108,638514,25000,0.004054,0.008276,0.006468,0.025505,103778,scaffold_41_1
scaffold_42,1639506,1817327,1744167,25000,0.006775,0.008602,0.006801,-0.065603,154568,scaffold_42_1
scaffold_43,1497969,1812136,1609133,20811,0.004231,0.003807,0.003846,-0.020263,154403,scaffold_43_1
scaffold_44,31194,96014,64096,25000,0.003702,0.00339,0.003698,0.022456,124572,scaffold_44_1
